question,option_a,option_b,option_c,option_d,correct_answer,domain,difficulty
What is the capital of France?,Lyon,Paris,Marseille,Nice,B,Geography,Easy
What is 2 + 2?,3,4,5,6,B,Mathematics,Easy
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,B,Science,Easy
What is the chemical symbol for Gold?,Go,Gd,Au,Ag,C,Chemistry,Easy
Who wrote Romeo and Juliet?,Mark Twain,William Shakespeare,Jane Austen,Charles Dickens,B,Literature,Easy
What is the largest ocean on Earth?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,D,Geography,Easy
How many continents are there?,5,6,7,8,C,Geography,Easy
What is the smallest prime number?,0,1,2,3,C,Mathematics,Easy
Which element has the atomic number 1?,Hydrogen,Helium,Lithium,Carbon,A,Chemistry,Easy
What year did World War II end?,1943,1944,1945,1946,C,History,Easy
What is the capital of Japan?,Osaka,Tokyo,Kyoto,Yokohama,B,Geography,Medium
What is the square root of 144?,10,11,12,13,C,Mathematics,Medium
How many bones are in the adult human body?,186,206,226,246,B,Biology,Medium
What is the most spoken language in the world?,Spanish,English,Hindi,Mandarin Chinese,D,Languages,Medium
Which country is home to the Great Wall?,Japan,India,China,Russia,C,Geography,Medium
What is the speed of light?,300000 km/s,150000 km/s,450000 km/s,600000 km/s,A,Physics,Medium
How many sides does an octagon have?,6,7,8,9,C,Mathematics,Easy
What is the currency of the United Kingdom?,Euro,Dollar,Pound Sterling,Franc,C,Economics,Easy
Who was the first President of the United States?,Thomas Jefferson,George Washington,John Adams,Benjamin Franklin,B,History,Easy
What is the capital of Australia?,Sydney,Melbourne,Brisbane,Canberra,D,Geography,Medium
How many strings does a violin have?,3,4,5,6,B,Music,Easy
What is the chemical formula for water?,H2O,H2O2,H3O,HO2,A,Chemistry,Easy
Which mountain is the tallest in the world?,K2,Mount Everest,Kangchenjunga,Lhotse,B,Geography,Easy
What is the currency of India?,Rupee,Dollar,Pound,Euro,A,Economics,Easy
How many planets are in our solar system?,7,8,9,10,B,Astronomy,Medium
What is the boiling point of water at sea level?,50C,75C,100C,125C,C,Physics,Easy
Who painted the Mona Lisa?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Michelangelo,C,Art,Easy
What is the largest country by area?,Canada,China,United States,Russia,D,Geography,Medium
How many degrees are in a circle?,180,270,360,540,C,Mathematics,Easy
What is the capital of Germany?,Munich,Hamburg,Berlin,Frankfurt,C,Geography,Easy
Which gas do plants absorb from the atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Argon,B,Biology,Easy
What is the largest desert in the world?,Sahara,Arabian,Gobi,Antarctic,D,Geography,Medium
How many sides does a hexagon have?,5,6,7,8,B,Mathematics,Easy
What is the capital of Spain?,Barcelona,Valencia,Madrid,Seville,C,Geography,Easy
Which planet is closest to the Sun?,Venus,Mercury,Earth,Mars,B,Astronomy,Easy
What is the chemical symbol for Oxygen?,O,O2,O3,Ox,A,Chemistry,Easy
How many continents does Africa have?,1,2,3,4,A,Geography,Easy
What year did the Titanic sink?,1911,1912,1913,1914,B,History,Medium
What is the smallest country in the world?,Monaco,Liechtenstein,San Marino,Vatican City,D,Geography,Medium
How many chromosomes do humans have?,23,46,69,92,B,Biology,Medium
What is the capital of Canada?,Toronto,Vancouver,Montreal,Ottawa,D,Geography,Easy
Which scientist developed the theory of evolution?,Isaac Newton,Charles Darwin,Albert Einstein,Stephen Hawking,B,Biology,Medium
What is the largest mammal on Earth?,Elephant,Hippopotamus,Giraffe,Blue Whale,D,Biology,Easy
How many teeth do adult humans have?,28,30,32,36,C,Biology,Easy
What is the capital of Italy?,Milan,Venice,Florence,Rome,D,Geography,Easy
Which metal is liquid at room temperature?,Aluminum,Iron,Mercury,Gold,C,Chemistry,Medium
What is the smallest bone in the human body?,Tibia,Fibula,Stapes,Femur,C,Biology,Medium
How many sides does a triangle have?,2,3,4,5,B,Mathematics,Easy
What is the capital of Brazil?,Rio de Janeiro,Sao Paulo,Salvador,Brasilia,D,Geography,Easy
Which country has the most population?,India,United States,Indonesia,China,A,Geography,Medium
What is the chemical formula for salt?,NaCl,KCl,MgCl2,CaCl2,A,Chemistry,Easy
How many minutes are in a day?,1000,1200,1440,1800,C,Mathematics,Easy
What is the capital of Mexico?,Guadalajara,Monterrey,Cancun,Mexico City,D,Geography,Easy
Which planet has the most moons?,Saturn,Jupiter,Neptune,Uranus,B,Astronomy,Medium
What is the deepest ocean trench?,Mariana Trench,Tonga Trench,Philippine Trench,Kuril Kamchatka Trench,A,Geography,Medium
How many sides does a pentagon have?,4,5,6,7,B,Mathematics,Easy
What is the capital of Greece?,Thessaloniki,Patras,Larissa,Athens,D,Geography,Easy
Which element is essential for human respiration?,Nitrogen,Oxygen,Carbon Dioxide,Hydrogen,B,Chemistry,Easy
What is the capital of South Korea?,Busan,Incheon,Daegu,Seoul,D,Geography,Easy
How many strings does a guitar have?,5,6,7,8,B,Music,Easy
What is the capital of Egypt?,Alexandria,Giza,Cairo,Luxor,C,Geography,Easy
Which animal is the fastest land animal?,Lion,Antelope,Horse,Cheetah,D,Biology,Easy
What is the capital of Thailand?,Chiang Mai,Phuket,Pattaya,Bangkok,D,Geography,Easy
How many players are on a soccer team on the field?,9,10,11,12,C,Sports,Easy
What is the capital of Sweden?,Gothenburg,Malmo,Uppsala,Stockholm,D,Geography,Easy
Which gas is used in balloons to make them float?,Oxygen,Nitrogen,Helium,Argon,C,Chemistry,Easy
What is the capital of Norway?,Bergen,Stavanger,Trondheim,Oslo,D,Geography,Easy
How many valves does a human heart have?,2,3,4,5,C,Biology,Medium
What is the capital of Turkey?,Istanbul,Izmir,Antalya,Ankara,D,Geography,Easy
Which planet is known for its rings?,Neptune,Uranus,Saturn,Jupiter,C,Astronomy,Easy
What is the capital of Portugal?,Porto,Lisbon,Covilha,Aveiro,B,Geography,Easy
How many sides does a rhombus have?,3,4,5,6,B,Mathematics,Easy
What is the capital of Poland?,Krakow,Gdansk,Wroclaw,Warsaw,D,Geography,Easy
Which animal has the longest neck?,Ostrich,Llama,Emu,Giraffe,D,Biology,Easy
What is the capital of Hungary?,Debrecen,Miskolc,Szeged,Budapest,D,Geography,Easy
How many faces does a cube have?,4,5,6,7,C,Mathematics,Easy
What is the capital of Czech Republic?,Brno,Ostrava,Plzen,Prague,D,Geography,Easy
Which scientist discovered penicillin?,Marie Curie,Louis Pasteur,Alexander Fleming,Jonas Salk,C,Biology,Medium
What is the capital of Romania?,Cluj Napoca,Timisoara,Constanta,Bucharest,D,Geography,Easy
How many bones does a newborn baby have?,150,206,270,300,C,Biology,Medium
What is the largest producer of coffee?,Vietnam,Colombia,Indonesia,Brazil,D,Geography,Medium
What is the capital of Belgium?,Antwerp,Ghent,Liege,Brussels,D,Geography,Easy
How many chambers does a human heart have?,2,3,4,5,C,Biology,Medium
