question,option_a,option_b,option_c,option_d,correct_answer,domain,difficulty,explanation
"What is the capital of France?","Lyon","Paris","Marseille","Nice","B","Geography","Easy","Paris is the capital and largest city of France."
"What is 2 + 2?","3","4","5","6","B","Mathematics","Easy","Basic arithmetic: 2 + 2 = 4"
"Which planet is known as the Red Planet?","Venus","Mars","Jupiter","Saturn","B","Science","Easy","Mars appears reddish due to iron oxide on its surface."
"What is the chemical symbol for Gold?","Go","Gd","Au","Ag","C","Chemistry","Easy","Gold's atomic symbol is Au from its Latin name Aurum."
"Who wrote Romeo and Juliet?","Mark Twain","William Shakespeare","Jane Austen","Charles Dickens","B","Literature","Easy","William Shakespeare is the famous playwright and poet."
"What is the largest ocean on Earth?","Atlantic Ocean","Indian Ocean","Arctic Ocean","Pacific Ocean","D","Geography","Easy","The Pacific Ocean covers about 165 million square kilometers."
"How many continents are there?","5","6","7","8","C","Geography","Easy","The seven continents are Africa, Antarctica, Asia, Europe, North America, Oceania, and South America."
"What is the smallest prime number?","0","1","2","3","C","Mathematics","Easy","2 is the smallest prime number as it's only divisible by 1 and itself."
"Which element has the atomic number 1?","Hydrogen","Helium","Lithium","Carbon","A","Chemistry","Easy","Hydrogen is the first element on the periodic table."
"What year did World War II end?","1943","1944","1945","1946","C","History","Easy","World War II ended in 1945."
"What is the capital of Japan?","Osaka","Tokyo","Kyoto","Yokohama","B","Geography","Medium","Tokyo has been the capital of Japan since 1868."
"What is the square root of 144?","10","11","12","13","C","Mathematics","Medium","√144 = 12 because 12 × 12 = 144"
"How many bones are in the adult human body?","186","206","226","246","B","Biology","Medium","An adult human body typically has 206 bones."
"What is the most spoken language in the world?","Spanish","English","Hindi","Mandarin Chinese","D","Languages","Medium","Mandarin Chinese has the most native speakers."
"Which country is home to the Great Wall?","Japan","India","China","Russia","C","Geography","Medium","The Great Wall of China is one of the most iconic structures."
"What is the speed of light?","300,000 km/s","150,000 km/s","450,000 km/s","600,000 km/s","A","Physics","Medium","Light travels at approximately 299,792 km/s in vacuum."
"How many sides does an octagon have?","6","7","8","9","C","Mathematics","Easy","An octagon is an 8-sided polygon."
"What is the currency of the United Kingdom?","Euro","Dollar","Pound Sterling","Franc","C","Economics","Easy","The British currency is the Pound Sterling (GBP)."
"Who was the first President of the United States?","Thomas Jefferson","George Washington","John Adams","Benjamin Franklin","B","History","Easy","George Washington served as the first US President from 1789 to 1797."
"What is the capital of Australia?","Sydney","Melbourne","Brisbane","Canberra","D","Geography","Medium","Canberra is the capital city of Australia, not Sydney."
"How many strings does a violin have?","3","4","5","6","B","Music","Easy","A violin has 4 strings."
"What is the chemical formula for water?","H2O","H2O2","H3O","HO2","A","Chemistry","Easy","Water is composed of 2 hydrogen atoms and 1 oxygen atom."
"Which mountain is the tallest in the world?","K2","Mount Everest","Kangchenjunga","Lhotse","B","Geography","Easy","Mount Everest stands at 8,849 meters above sea level."
"What is the currency of India?","Rupee","Dollar","Pound","Euro","A","Economics","Easy","The Indian currency is the Indian Rupee (INR)."
"How many planets are in our solar system?","7","8","9","10","B","Astronomy","Medium","There are 8 planets: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune."
"What is the boiling point of water at sea level?","50°C","75°C","100°C","125°C","C","Physics","Easy","Water boils at 100°C (212°F) at sea level."
"Who painted the Mona Lisa?","Vincent van Gogh","Pablo Picasso","Leonardo da Vinci","Michelangelo","C","Art","Easy","Leonardo da Vinci painted the Mona Lisa in the early 16th century."
